iter	Logloss
0	0.591740634
1	0.5268269546
2	0.4801630142
3	0.4422719965
4	0.4154906519
5	0.3951584631
6	0.3820267216
7	0.3701577222
8	0.3599451707
9	0.3523388143
10	0.3458112557
11	0.3409170765
12	0.335715793
13	0.331459575
14	0.3284164014
15	0.3249065952
16	0.3231565888
17	0.3205111665
18	0.318367302
19	0.3166825555
20	0.3145713302
21	0.3130991207
22	0.3117853558
23	0.310396526
24	0.3088982088
25	0.3081473964
26	0.3070162918
27	0.305615281
28	0.3045790611
29	0.3038621628
30	0.3032011705
31	0.3022000503
32	0.3015903021
33	0.3008342539
34	0.3003405095
35	0.299453979
36	0.2989640541
37	0.2983054728
38	0.2976228705
39	0.2958814576
40	0.2952191554
41	0.2947749646
42	0.2943165226
43	0.2934767421
44	0.2930774923
45	0.2926831445
46	0.2922315082
47	0.2914051974
48	0.2910067982
49	0.2903106394
50	0.2901883945
51	0.2899140726
52	0.2895220093
53	0.2890553556
54	0.2884378504
55	0.2880738643
56	0.2876199868
57	0.2871286887
58	0.2864644721
59	0.2860491282
60	0.2857632368
61	0.2854887262
62	0.2852527925
63	0.285058496
64	0.2847776975
65	0.2845626733
66	0.2843451394
67	0.2839680515
68	0.2837349566
69	0.2835035886
70	0.2828085768
71	0.282673865
72	0.2823327168
73	0.2820383384
74	0.2817475028
75	0.2814797758
76	0.2812606474
77	0.280548043
78	0.2803209912
79	0.2801394357
80	0.2799630083
81	0.2797756933
82	0.2792009557
83	0.2790043114
84	0.2787178459
85	0.2780545842
86	0.2778812662
87	0.2769428518
88	0.2767764532
89	0.2765607049
90	0.2757925202
91	0.2756703538
92	0.2755464746
93	0.2752074293
94	0.2749858934
95	0.2745940609
96	0.2743144399
97	0.2741192307
98	0.2738465326
99	0.2735935476
100	0.2732870128
101	0.2730715234
102	0.272752517
103	0.2726062908
104	0.2724282162
105	0.2721985072
106	0.2718827988
107	0.2715797061
108	0.2714232789
109	0.2712670849
110	0.2710080346
111	0.2708598695
112	0.2707223763
113	0.2704828436
114	0.2700016926
115	0.2697935913
116	0.2696109369
117	0.2694624062
118	0.2689805781
119	0.2687340275
120	0.2685237177
121	0.268254498
122	0.2680046365
123	0.2678107501
124	0.2677569682
125	0.2676080228
126	0.2674714927
127	0.2672105562
128	0.2669968394
129	0.2668640537
130	0.2664277067
131	0.2662456522
132	0.2660211603
133	0.2658464071
134	0.2657403313
135	0.265493885
136	0.2653351779
137	0.2651585513
138	0.264910309
139	0.2646615136
140	0.264422924
141	0.2641510401
142	0.2640170055
143	0.2638627024
144	0.2636342869
145	0.2635344381
146	0.2633055973
147	0.2632083705
148	0.2628234915
149	0.2625964619
150	0.2624428395
151	0.2622741622
152	0.2620502772
153	0.2618469993
154	0.2617164994
155	0.2614886849
156	0.2612574739
157	0.2610370439
158	0.26086557
159	0.2606913299
160	0.2604934168
161	0.2603825738
162	0.2601910258
163	0.2595767741
164	0.259407334
165	0.2592256801
166	0.2590749024
167	0.2589161238
168	0.2587174116
169	0.2585898922
170	0.2584089342
171	0.2582576011
172	0.2580420988
173	0.2579276532
174	0.2577809362
175	0.2575181052
176	0.2573216834
177	0.2571261087
178	0.2569761382
179	0.2568161447
180	0.25665559
181	0.2566253524
182	0.2564774075
183	0.2564178591
184	0.2562597905
185	0.2560967884
186	0.2558986408
187	0.2557347787
188	0.2555972727
189	0.2553912638
190	0.2552059019
191	0.2550381735
192	0.2548868803
193	0.254703776
194	0.2546046712
195	0.2544893808
196	0.2543200521
197	0.2542265323
198	0.2540041984
199	0.2538810573
