iter	Passed	Remaining
0	3	3838
1	7	3716
2	11	3752
3	15	3762
4	18	3758
5	22	3734
6	26	3757
7	30	3800
8	34	3844
9	38	3842
10	42	3865
11	47	3949
12	52	3992
13	56	4008
14	62	4096
15	68	4198
16	72	4179
17	76	4198
18	80	4178
19	85	4173
20	90	4223
21	95	4234
22	99	4242
23	103	4227
24	108	4237
25	114	4289
26	122	4410
27	128	4450
28	132	4437
29	136	4424
30	141	4417
31	145	4411
32	150	4407
33	155	4412
34	160	4415
35	164	4398
36	169	4408
37	173	4404
38	178	4392
39	183	4409
40	189	4425
41	193	4424
42	199	4430
43	204	4432
44	208	4429
45	213	4420
46	217	4407
47	221	4393
48	225	4384
49	230	4370
50	233	4351
51	237	4337
52	241	4318
53	245	4299
54	249	4287
55	253	4268
56	257	4254
57	260	4238
58	264	4222
59	268	4209
60	272	4198
61	276	4186
62	280	4179
63	284	4164
64	288	4154
65	292	4144
66	297	4139
67	300	4125
68	304	4113
69	308	4101
70	312	4088
71	316	4078
72	320	4069
73	324	4056
74	327	4044
75	331	4031
76	335	4019
77	339	4011
78	343	4000
79	346	3990
80	351	3985
81	355	3978
82	359	3967
83	363	3960
84	366	3948
85	370	3939
86	374	3929
87	378	3918
88	382	3912
89	386	3911
90	391	3907
91	395	3899
92	398	3891
93	403	3884
94	407	3879
95	411	3877
96	416	3874
97	420	3865
98	424	3865
99	429	3863
100	435	3875
101	440	3873
102	444	3870
103	448	3866
104	452	3860
105	456	3853
106	460	3845
107	464	3838
108	469	3836
109	473	3828
110	478	3831
111	482	3828
112	487	3825
113	491	3819
114	495	3811
115	499	3804
116	502	3795
117	507	3790
118	511	3783
119	514	3776
120	519	3771
121	523	3767
122	526	3757
123	530	3749
124	534	3741
125	538	3732
126	542	3725
127	545	3719
128	550	3714
129	554	3708
130	557	3700
131	561	3693
132	565	3687
133	569	3680
134	573	3672
135	577	3665
136	580	3657
137	585	3654
138	588	3646
139	592	3638
140	596	3631
141	600	3630
142	604	3624
143	608	3618
144	612	3611
145	616	3604
146	620	3598
147	623	3591
148	627	3586
149	632	3583
150	636	3577
151	639	3569
152	643	3564
153	647	3558
154	651	3550
155	655	3545
156	659	3539
157	662	3533
158	666	3526
159	670	3518
160	674	3513
161	678	3507
162	681	3499
163	685	3492
164	689	3490
165	694	3486
166	699	3486
167	702	3481
168	710	3494
169	716	3496
170	720	3492
171	724	3486
172	728	3481
173	732	3476
174	737	3476
175	742	3476
176	749	3482
177	753	3480
178	758	3478
179	763	3476
180	769	3479
181	773	3477
182	778	3473
183	782	3470
184	787	3468
185	791	3464
186	795	3460
187	800	3455
188	804	3451
189	808	3446
190	812	3441
191	816	3438
192	821	3433
193	825	3431
194	830	3429
195	835	3425
196	839	3422
197	844	3419
198	849	3418
199	853	3413
200	857	3408
201	861	3404
202	866	3400
203	870	3395
204	875	3394
205	880	3392
206	884	3387
207	889	3386
208	894	3383
209	898	3378
210	902	3373
211	907	3371
212	911	3368
213	916	3366
214	921	3362
215	925	3358
216	930	3356
217	937	3362
218	946	3375
219	952	3377
220	960	3386
221	980	3435
222	992	3456
223	1007	3490
224	1017	3503
225	1022	3500
226	1028	3502
227	1036	3508
228	1042	3509
229	1050	3518
230	1057	3519
231	1064	3524
232	1071	3526
233	1076	3525
234	1081	3519
235	1085	3515
236	1090	3512
237	1095	3506
238	1099	3501
239	1106	3503
240	1111	3501
241	1117	3499
242	1122	3495
243	1126	3491
244	1132	3489
245	1136	3484
246	1141	3480
247	1145	3474
248	1151	3472
249	1155	3466
250	1159	3460
251	1163	3453
252	1167	3447
253	1172	3442
254	1176	3436
255	1180	3431
256	1184	3425
257	1189	3420
258	1192	3413
259	1197	3407
260	1201	3401
261	1205	3395
262	1209	3388
263	1213	3383
264	1217	3376
265	1221	3370
266	1225	3363
267	1230	3360
268	1235	3356
269	1240	3353
270	1245	3350
271	1249	3345
272	1253	3339
273	1257	3332
274	1261	3326
275	1265	3320
276	1270	3314
277	1274	3309
278	1278	3303
279	1282	3297
280	1286	3291
281	1290	3284
282	1293	3278
283	1297	3272
284	1301	3266
285	1305	3260
286	1309	3254
287	1313	3248
288	1317	3242
289	1322	3237
290	1326	3231
291	1330	3226
292	1336	3224
293	1340	3219
294	1344	3212
295	1348	3206
296	1352	3201
297	1356	3194
298	1359	3187
299	1364	3183
300	1368	3176
301	1371	3170
302	1375	3163
303	1379	3158
304	1383	3152
305	1387	3146
306	1390	3139
307	1394	3133
308	1399	3128
309	1403	3122
310	1406	3116
311	1410	3111
312	1415	3106
313	1419	3100
314	1423	3095
315	1427	3090
316	1431	3084
317	1435	3078
318	1439	3072
319	1442	3065
320	1446	3059
321	1450	3053
322	1454	3047
323	1457	3041
324	1461	3035
325	1465	3029
326	1469	3023
327	1473	3019
328	1477	3013
329	1481	3008
330	1485	3002
331	1489	2997
332	1493	2991
333	1497	2986
334	1501	2981
335	1505	2975
336	1509	2970
337	1513	2964
338	1517	2959
339	1521	2953
340	1525	2948
341	1529	2942
342	1534	2939
343	1538	2933
344	1542	2928
345	1546	2922
346	1550	2917
347	1554	2911
348	1558	2906
349	1561	2900
350	1565	2894
351	1569	2888
352	1573	2883
353	1577	2877
354	1581	2872
355	1585	2867
356	1589	2862
357	1593	2858
358	1597	2853
359	1601	2847
360	1606	2843
361	1610	2838
362	1614	2832
363	1618	2827
364	1621	2821
365	1625	2816
366	1629	2811
367	1633	2805
368	1637	2800
369	1641	2794
370	1645	2789
371	1649	2784
372	1653	2779
373	1657	2773
374	1661	2768
375	1665	2764
376	1669	2759
377	1674	2754
378	1678	2749
379	1682	2744
380	1686	2739
381	1690	2734
382	1693	2728
383	1698	2723
384	1702	2719
385	1706	2713
386	1710	2708
387	1714	2703
388	1718	2698
389	1722	2693
390	1725	2688
391	1730	2684
392	1734	2678
393	1738	2673
394	1742	2668
395	1746	2663
396	1750	2659
397	1754	2654
398	1758	2648
399	1762	2643
400	1766	2638
401	1770	2633
402	1774	2628
403	1778	2623
404	1782	2618
405	1786	2613
406	1790	2608
407	1794	2603
408	1798	2598
409	1802	2593
410	1805	2588
411	1810	2583
