iter	RMSE
0	0.956408428
1	0.893093109
2	0.8372821073
3	0.7877080982
4	0.7430897484
5	0.7015369909
6	0.6646118928
7	0.6296120075
8	0.5986969126
9	0.5745400389
10	0.5483036621
11	0.5274021972
12	0.5029521484
13	0.4832098914
14	0.4668866865
15	0.4524208996
16	0.4382461121
17	0.426081023
18	0.4130986584
19	0.4028596369
20	0.3929641146
21	0.3838601353
22	0.3748669477
23	0.3649484559
24	0.3561429318
25	0.3491687781
26	0.3440576464
27	0.3387358521
28	0.3329723237
29	0.3280812293
30	0.3223668285
31	0.3167862961
32	0.311787015
33	0.3068829895
34	0.3025308546
35	0.2994944465
36	0.2967410886
37	0.29241145
38	0.2891342027
39	0.286383469
40	0.283726267
41	0.2815424451
42	0.2793291386
43	0.2765394078
44	0.2740468879
45	0.271652423
46	0.2687264726
47	0.267360995
48	0.2651291357
49	0.2635612255
50	0.2607542996
51	0.2594898146
52	0.2580124199
53	0.2566094306
54	0.2553448003
55	0.2538292524
56	0.2526459731
57	0.2517944357
58	0.2497705821
59	0.2479503368
60	0.2471526987
61	0.2455818961
62	0.2449656264
63	0.2440651777
64	0.2422240818
65	0.2413333356
66	0.2394036471
67	0.2383344067
68	0.2374593088
69	0.2358830994
70	0.2345907586
71	0.2336251735
72	0.2325888117
73	0.2308542449
74	0.2303139641
75	0.2293984754
76	0.2277045346
77	0.2261633733
78	0.224960461
79	0.2245060049
80	0.2240300661
81	0.2231074463
82	0.2222155896
83	0.221200139
84	0.2203952727
85	0.2188140108
86	0.2174413798
87	0.2169093668
88	0.2165158977
89	0.2158777571
90	0.2143019989
91	0.2136312142
92	0.2129514603
93	0.2116056535
94	0.2100942519
95	0.2092874151
96	0.2084031727
97	0.2071673653
98	0.2054545236
99	0.2044062196
100	0.2035600307
101	0.2032112755
102	0.2021178692
103	0.201627101
104	0.2013256905
105	0.2008939379
106	0.2004071296
107	0.1986530236
108	0.1977363985
109	0.1965697828
110	0.19587999
111	0.1951328436
112	0.1946711357
113	0.1938128683
114	0.1924906817
115	0.1915879646
116	0.1910493278
117	0.1900658508
118	0.1892018564
119	0.1886073416
120	0.1876884129
121	0.18728908
122	0.1868393283
123	0.1863537496
124	0.1853430104
125	0.1849583242
126	0.1836649136
127	0.1827487807
128	0.1821058457
129	0.1817108964
130	0.1814162087
131	0.180750468
132	0.1798410615
133	0.1794963728
134	0.178779341
135	0.1781239958
136	0.1771205124
137	0.1764439559
138	0.1755185258
139	0.1749527826
140	0.1739108798
141	0.1728966373
142	0.1720025324
143	0.1713160266
144	0.1710482698
145	0.1701679436
146	0.1693609683
147	0.1684239499
148	0.1682850327
149	0.167484673
150	0.1663940301
151	0.1657231308
152	0.1651296445
153	0.1644922644
154	0.1644430686
155	0.1636878846
156	0.1629181514
157	0.1621786241
158	0.1614067447
159	0.1612612126
160	0.1606730521
161	0.159646202
162	0.1590018498
163	0.1587466356
164	0.1584363951
165	0.157771903
166	0.1572552128
167	0.1566901671
168	0.1562697609
169	0.1557059247
170	0.1548999014
171	0.1541947223
172	0.1537362289
173	0.1532155759
174	0.1527888613
175	0.1517595312
176	0.1509395943
177	0.1508501129
178	0.1500831765
179	0.1493969955
180	0.1489258625
181	0.1488175919
182	0.1483493913
183	0.1479769903
184	0.1476223207
185	0.1472731809
186	0.1469045184
187	0.1464191946
188	0.1459255918
189	0.145372072
190	0.1447848262
191	0.1447300892
192	0.1441428713
193	0.1435521036
194	0.1429924388
195	0.1429279316
196	0.1423967955
197	0.1418167989
198	0.1417475599
199	0.1411918017
