iter	Passed	Remaining
0	25	5146
1	28	2861
2	33	2208
3	36	1791
4	40	1596
5	44	1426
6	48	1330
7	52	1261
8	55	1171
9	58	1112
10	61	1062
11	65	1032
12	68	990
13	72	965
14	76	937
15	80	928
16	84	914
17	90	910
18	93	892
19	97	876
20	100	859
21	103	839
22	106	823
23	109	801
24	113	794
25	116	779
26	120	774
27	125	769
28	128	759
29	132	751
30	135	741
31	139	730
32	142	718
33	145	712
34	148	700
35	152	692
36	154	681
37	158	677
38	162	669
39	180	723
40	184	714
41	187	706
42	190	695
43	194	688
44	196	676
45	200	671
46	203	660
47	206	654
48	209	645
49	213	641
50	216	632
51	219	625
52	222	616
53	225	610
54	228	601
55	231	596
56	234	588
57	237	581
58	241	575
59	243	568
60	246	561
61	248	553
62	251	547
63	254	540
64	257	534
65	259	527
66	262	520
67	265	514
68	267	507
69	270	502
70	273	496
71	275	489
72	278	484
73	280	477
74	283	473
75	286	466
76	288	460
77	291	455
78	293	449
79	295	443
80	298	438
81	301	433
82	304	429
83	307	423
84	309	419
85	312	414
86	314	407
87	317	403
88	319	398
89	320	391
90	322	385
91	324	380
92	325	374
93	327	369
94	330	365
95	332	360
96	334	355
97	337	350
98	339	346
99	342	342
100	344	337
101	346	332
102	349	329
103	351	324
104	354	320
105	357	316
106	359	312
107	362	308
108	365	304
109	368	301
110	371	297
111	373	293
112	375	289
113	378	285
114	381	281
115	383	277
116	385	273
117	388	270
118	390	266
119	393	262
120	396	258
121	397	254
122	400	250
123	403	247
124	405	243
125	407	239
126	410	235
127	412	231
128	414	228
129	416	224
130	418	220
131	421	217
132	424	213
133	426	210
134	429	206
135	431	203
136	434	199
137	436	196
138	439	192
139	441	189
140	443	185
141	446	182
142	448	178
143	451	175
144	454	172
145	456	168
146	459	165
147	461	162
148	464	158
149	466	155
150	469	152
151	471	148
152	473	145
153	475	142
154	477	138
155	480	135
156	482	132
157	485	129
158	487	125
159	489	122
160	492	119
161	495	116
162	497	112
163	500	109
164	502	106
165	503	103
166	506	100
167	508	96
168	510	93
169	513	90
170	515	87
171	518	84
172	521	81
173	523	78
174	527	75
175	529	72
176	533	69
177	535	66
178	538	63
179	541	60
180	544	57
181	547	54
182	549	51
183	552	48
184	554	44
185	558	42
186	561	39
187	564	36
188	567	33
189	570	30
190	573	27
191	576	24
192	579	21
193	581	17
194	584	14
195	587	11
196	591	9
197	593	5
198	596	2
199	598	0
